Starting the logger (C:\Users\philipoe\AppData\Local\Android\Sdk/platform-tools/adb logcat *:S ReactNative:V ReactNativeJS:V)...
--------- beginning of main
--------- beginning of system
10-23 18:06:45.304  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556480.4983819828;this.cur_value_ground_move:-1236.7403999999997
10-23 18:06:45.406  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556485.80693606;this.cur_value_ground_move:-1219.1634000000004
10-23 18:06:45.537  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556491.0400430546;this.cur_value_ground_move:-1204.6481999999996
10-23 18:06:45.651  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556496.2108453617;this.cur_value_ground_move:-1191.6072000000004
10-23 18:06:45.747  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556501.3256708011;this.cur_value_ground_move:-1180.4940000000006
10-23 18:06:45.881  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556506.3927942142;this.cur_value_ground_move:-1165.4117999999999
10-23 18:06:46.009  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556511.395179163;this.cur_value_ground_move:-1150.7831999999999
10-23 18:06:46.149  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556516.3347726688;this.cur_value_ground_move:-1140.0101999999997
10-23 18:06:46.270  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556521.2281244143;this.cur_value_ground_move:-1121.1858000000002
10-23 18:06:46.398  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556526.0406747684;this.cur_value_ground_move:-1111.3199999999997
10-23 18:06:46.525  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556530.8108774051;this.cur_value_ground_move:-1092.3822
10-23 18:06:46.657  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556535.4997918948;this.cur_value_ground_move:-1077.4133999999995
10-23 18:06:46.782  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556540.1244546756;this.cur_value_ground_move:-1063.2384000000002
10-23 18:06:46.904  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556544.688273035;this.cur_value_ground_move:-1049.8572000000004
10-23 18:06:47.043  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556549.1946542605;this.cur_value_ground_move:-1036.2492000000002
10-23 18:06:47.152  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556553.6426248415;this.cur_value_ground_move:-1025.9298
10-23 18:06:47.280  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556558.0463006839;this.cur_value_ground_move:-1010.5074000000004
10-23 18:06:47.396  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556562.3837777957;this.cur_value_ground_move:-993.4974000000002
10-23 18:06:47.558  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556566.6482416019;this.cur_value_ground_move:-979.7759999999998
10-23 18:06:47.649  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556570.8538080081;this.cur_value_ground_move:-970.2503999999999
10-23 18:06:47.774  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556575.0184869632;this.cur_value_ground_move:-950.7456000000002
10-23 18:06:47.896  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556579.0994439945;this.cur_value_ground_move:-942.2406000000001
10-23 18:06:48.023  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556583.1438943729;this.cur_value_ground_move:-922.7358000000004
10-23 18:06:48.160  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556587.1046228275;this.cur_value_ground_move:-912.4164000000001
10-23 18:06:48.275  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556591.0210565433;this.cur_value_ground_move:-897.5609999999997
10-23 18:06:48.404  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556594.8737253055;this.cur_value_ground_move:-885.6540000000005
10-23 18:06:48.524  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556598.6752847538;this.cur_value_ground_move:-865.5821999999998
10-23 18:06:48.652  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556602.3906885013;this.cur_value_ground_move:-851.2938000000004
10-23 18:06:48.771  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556606.0447610721;this.cur_value_ground_move:-837.5724
10-23 18:06:48.912  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556609.6399362431;this.cur_value_ground_move:-827.4798000000001
