Starting the logger (C:\Users\philipoe\AppData\Local\Android\Sdk/platform-tools/adb logcat *:S ReactNative:V ReactNativeJS:V)...
--------- beginning of main
--------- beginning of system
10-23 18:35:35.235  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3951.8765999999996;this.cur_value_ground_move:-3942.0108
10-23 18:35:35.352  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3942.0108;this.cur_value_ground_move:-3926.1348
10-23 18:35:35.467  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3926.1348;this.cur_value_ground_move:-3913.0937999999996
10-23 18:35:35.590  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3913.0937999999996;this.cur_value_ground_move:-3903.1146
10-23 18:35:35.701  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3903.1146;this.cur_value_ground_move:-3886.8984
10-23 18:35:35.821  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3886.8984;this.cur_value_ground_move:-3875.7852000000003
10-23 18:35:35.928  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3875.7852000000003;this.cur_value_ground_move:-3860.8164
10-23 18:35:36.044  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3860.8164;this.cur_value_ground_move:-3849.9300000000003
10-23 18:35:36.173  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3849.9300000000003;this.cur_value_ground_move:-3836.4354000000003
10-23 18:35:36.287  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3836.4354000000003;this.cur_value_ground_move:-3822.2604
10-23 18:35:36.412  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3822.2604;this.cur_value_ground_move:-3809.4462000000003
10-23 18:35:36.511  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3809.4462000000003;this.cur_value_ground_move:-3794.7042
10-23 18:35:36.643  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3794.7042;this.cur_value_ground_move:-3784.2714
10-23 18:35:36.757  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3784.2714;this.cur_value_ground_move:-3769.7562
10-23 18:35:36.876  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3769.7562;this.cur_value_ground_move:-3757.6224
10-23 18:35:36.979  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3757.6224;this.cur_value_ground_move:-3741.633
10-23 18:35:37.120  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3741.633;this.cur_value_ground_move:-3730.9734
10-23 18:35:37.242  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3730.9734;this.cur_value_ground_move:-3713.9633999999996
10-23 18:35:37.346  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3713.9633999999996;this.cur_value_ground_move:-3700.1286
10-23 18:35:37.458  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3700.1286;this.cur_value_ground_move:-3690.7164000000002
10-23 18:35:37.563  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3690.7164000000002;this.cur_value_ground_move:-3678.5826
10-23 18:35:37.683  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3678.5826;this.cur_value_ground_move:-3664.6344
10-23 18:35:37.776  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3664.6344;this.cur_value_ground_move:-3653.5212
10-23 18:35:37.896  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3653.5212;this.cur_value_ground_move:-3637.6452
10-23 18:35:38.014  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3637.6452;this.cur_value_ground_move:-3627.666
10-23 18:35:38.130  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3627.666;this.cur_value_ground_move:-3614.5116
10-23 18:35:38.234  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3614.5116;this.cur_value_ground_move:-3602.3778
10-23 18:35:38.385  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3602.3778;this.cur_value_ground_move:-3588.7698
10-23 18:35:38.500  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3588.7698;this.cur_value_ground_move:-3569.832
10-23 18:35:38.615  2940  2969 I ReactNativeJS: val:0;this.compensDelta:3569.832;this.cur_value_ground_move:-3559.9662
