Starting the logger (C:\Users\philipoe\AppData\Local\Android\Sdk/platform-tools/adb logcat *:S ReactNative:V ReactNativeJS:V)...
--------- beginning of system
--------- beginning of main
10-23 17:24:00.734  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:382.0446000000002
10-23 17:24:00.866  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:395.08559999999943
10-23 17:24:00.978  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:412.20899999999983
10-23 17:24:01.092  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:425.02319999999963
10-23 17:24:01.200  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:434.3220000000001
10-23 17:24:01.314  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:447.8166000000001
10-23 17:24:01.439  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:460.8576000000003
10-23 17:24:01.532  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:475.14600000000064
10-23 17:24:01.664  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:489.3209999999999
10-23 17:24:01.777  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:502.7021999999997
10-23 17:24:01.896  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:516.1967999999997
10-23 17:24:02.016  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:530.1449999999995
10-23 17:24:02.137  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:543.7530000000006
10-23 17:24:02.245  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:555.6600000000008
10-23 17:24:02.346  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:567.1134000000002
10-23 17:24:02.469  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:576.6389999999992
10-23 17:24:02.589  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:590.8140000000003
10-23 17:24:02.696  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:606.0096000000003
10-23 17:24:02.817  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:616.4423999999999
10-23 17:24:02.932  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:633.7925999999998
10-23 17:24:03.045  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:646.7202000000007
10-23 17:24:03.158  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:656.4726
10-23 17:24:03.275  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:669.1733999999997
10-23 17:24:03.409  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:685.7298000000001
10-23 17:24:03.514  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:696.3894
10-23 17:24:03.630  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:710.6778000000004
10-23 17:24:03.730  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:724.0589999999993
10-23 17:24:03.846  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:737.4402
10-23 17:24:03.969  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:746.8524000000007
